staff_name,publication,publication_year
Steven ARMFIELD,Large eddy simulation of wave and current induced flow over a circular cylinder,1994
Steven ARMFIELD,Analysis of SIMPLE type algorithms on staggered and non-staggered grids,1988
Steven ARMFIELD,Symbolic analysis of the reduced incompressible Navier‐Stokes equations,1988
Steven ARMFIELD,A comparison of single and multi-sweep techniques for reduced Navier-Stokes equations,1986
Steven ARMFIELD,Maximum Penetration Height and Intrusion Speed of Weak Symmetric Plane Fountains in Linearly Stratified Fluids,2023
Steven ARMFIELD,Predicting radial profiles for jets with arbitrary buoyancy,2023
Steven ARMFIELD,Three-dimensional Linear Stability of Natural Convection Boundary Layer in a Stably Stratified Medium,2022
Steven ARMFIELD,Dynamics of the Primary Instability in the Stably Stratified Cavity,2022
Steven ARMFIELD,Thermal entrainment in the core regions of transitional plane fountains in linearly stratified ambient fluids,2022
Steven ARMFIELD,Direct numerical simulation of a temporally developing natural convection boundary layer on a doubly-infinite isothermal wall,2018
Steven ARMFIELD,Parametric Study of Raised-Floor Data Centres to Improve the Cooling Efficiency,2017
Steven ARMFIELD,Corrigendum to “Conjugate natural convection heat transfer in a partitioned differentially-heated square cavity”[Int. Commun. Heat Mass Transfer 81 (2017) 92–103],2017
Steven ARMFIELD,Interaction behavior of triple transitional round fountains in a homogeneous fluid,2016
Steven ARMFIELD,Keynote,2016
Steven ARMFIELD,Nusselt number scaling in an inclined differentially heated square cavity,2014
Steven ARMFIELD,Direct numeric simulation of sheared convective boundary layer entrainment with GPUs,2013
Steven ARMFIELD,Thermodynamic Investigation of Raised-floor Air-cooled Data Centres,2012
Steven ARMFIELD,A canonical model for stratified flow in estuaries and rivers,2012
Steven ARMFIELD,Stability and transition in the near-field of pure planar plumes,2012
Steven ARMFIELD,The stability of conjugate natural convection boundary layers,2010
Steven ARMFIELD,Combined natural convection cooling of a drink can,2010
Steven ARMFIELD,Two-dimensional numerical simulation of a steady-state buoyancy-driven flow in a semi-confined enclosure with a line heat source,2010
Steven ARMFIELD,Natural Convection Ventilation in Fully Open Enclosures,2010
Steven ARMFIELD,Influence of a channel bend on the purging of saline fluid from a cavity by an overflow of fresh water,2008
Steven ARMFIELD,Numerical simulation of free-fountains in a homogeneous fluid,2007
Steven ARMFIELD,Stratified natural convection flow in rectangular open cavities,2006
Steven ARMFIELD,Three-dimensional transition in the buoyancy boundary layer on an evenly heated vertical wall,2004
Steven ARMFIELD,A comparison of Eulerian and Lagrangian schemes for the simulation of an incompressible planar jet,2003
Steven ARMFIELD,An investigation of the behaviour of planar jets using a time accurate fractional step scheme,2002
Steven ARMFIELD,Bifurcation of Neutrally Buoyant Jets in Stratified Environments,2001
Steven ARMFIELD,Solving the Navier-Stokes equations on a workstation cluster,2000
Steven ARMFIELD,A simplified marker and cell method on non-staggered curvilinear grids,1995
Steven ARMFIELD,Simulation of external flows using a zonal algorithm,1994
Steven ARMFIELD,Internal swirling flow predictions using a multi-sweep scheme,1989
Steven ARMFIELD,Numerical simulation of incompressible turbulent swirling flow in conical diffusers,1988
Steven ARMFIELD,Bulk Flow Parameterization of Temporally Evolving Turbulent Stratified Open Channel Flow Subject to Radiative Heating,2025
Steven ARMFIELD,A coupled block implicit solver for the incompressible Navier–Stokes equations on collocated grids,2024
Steven ARMFIELD,Non-Oberbeck–Boussinesq effects on the linear stability of a vertical natural convection boundary layer,2024
Steven ARMFIELD,Universal relative scaling of longitudinal structure functions in shear-dominated turbulence,2024
Steven ARMFIELD,Scaling of structure functions in a turbulent vertical buoyancy layer,2023
Steven ARMFIELD,Self-similar energy-containing eddies in a turbulent natural convection boundary layer immersed in a stably stratified medium,2023
Steven ARMFIELD,Direct numerical simulation of “fountain filling box” flow with a confined weak laminar plane fountain,2023
Steven ARMFIELD,The Role of Diameter Variation in Investigation of Coronary Tortuosity,2022
Steven ARMFIELD,Scaling of a Turbulent Natural Convection Boundary Layer Immersed in a Stably Stratified Medium,2022
Steven ARMFIELD,Temporal Evolution of Mixing Regimes in Diurnally Heated Stratified Open Channel Flows,2022
Steven ARMFIELD,Turbulent statistics of a vertical natural convection boundary layer,2022
Steven ARMFIELD,Intermittency and spontaneous interface formation in stratified open channel flow,2022
Steven ARMFIELD,Turbulence Statistics in a Temporally Evolving Turbulent Natural Convection Boundary Layer,2022
Steven ARMFIELD,Analysis of Effects of Meander Curvature in Thermally Stratified Turbulent Open-channel Flow,2021
Steven ARMFIELD,Transient mixing in turbulent open channel subject to radiative heating,2020
Steven ARMFIELD,Influence of Diurnal Heating on a Stratified Open Channel Flow,2020
Steven ARMFIELD,Entrainment in negatively buoyant jets and fountains,2020
Steven ARMFIELD,The effect of partition thermal conductivity and thickness on the transient conjugate natural convection flow and heat transfer in a partitioned differentially-heated cavity,2019
Steven ARMFIELD,Application of an Integral Model to an Unsteady Natural Convection Boundary Layer,2019
Steven ARMFIELD,Numerical Simulation for Entrainment of Forced Turbulent Fountains,2019
Steven ARMFIELD,Scaling for Transient Natural Convection Flow in an Enclosure with Isoflux Heating,2018
Steven ARMFIELD,Filling Box Flow with Weak Plane Fountain: The Effect of the Reynolds and Prandtl Numbers,2018
Steven ARMFIELD,On the use of air curtains to control smoke spread in an enclosed fire,2018
Steven ARMFIELD,Natural convection stratification and scaling in a cavity with unsteady sidewall heating,2018
Steven ARMFIELD,Numerical investigation and modelling of the venous injection of sclerosant foam,2018
Steven ARMFIELD,Numerical simulation for entrainment of forced turbulent fountains,2018
Steven ARMFIELD,DIRECT NUMERICAL SIMULATION OF THE LONG-TERM BEHAVIOUR OF WEAK FOUNTAINS IN A HOMOGENEOUS FLUID,2018
Steven ARMFIELD,Parametric optimisation of raised-floor data centres to enhance the thermal performance,2018
Steven ARMFIELD,Direct Numerical Simulation of an Unsteady Natural Convection Boundary Layer adjacent to a Doubly-infinite Isothermal Wall,2017
Steven ARMFIELD,Exergetic Appraisal of the Data Centres Cooling: Theory and Application,2017
Steven ARMFIELD,Penetration height of transitional round fountains in a linearly stratified fluid,2017
Steven ARMFIELD,Turbulent dense gas flow characteristics in swirling conical diffuser,2017
Steven ARMFIELD,Conjugate natural convection heat transfer in a partitioned differentially-heated square cavity,2017
Steven ARMFIELD,Scalings for unsteady natural convection boundary layers on a vertical plate at time-dependent temperature,2017
Steven ARMFIELD,A multigrid accelerated code for simulating unsteady conjugate natural convection boundary layers,2016
Steven ARMFIELD,Exergy Analysis of Data Centres-Effect of the Rack Location and Airflow Direction on the Thermal Performance,2016
Steven ARMFIELD,Convectively unstable turbulent open channel flow with stable surface stratification,2016
Steven ARMFIELD,Transient laminar conjugate natural convection in a cavity with a finite thickness and conductivity partition,2016
Steven ARMFIELD,Entrainment Across a Sheared Density Interface in High Richardson Number Cavity Flow,2015
Steven ARMFIELD,Turbulent mixing in cross sheared stratified flow,2015
Steven ARMFIELD,Entrainment Across a Sharp Density Interface in a Sheared Cavity Flow,2014
Steven ARMFIELD,Second Law Analysis of Small Data Centre Airspace,2014
Steven ARMFIELD,Coherent structures in cross sheared flows in weakly stratified environments,2014
Steven ARMFIELD,Hydrodynamic stability analysis on inviscid cross sheared stratified flows,2014
Steven ARMFIELD,Scaling Analysis of Unsteady Natural Convection Boundary Layers on an Evenly Heated Plate with a Time-dependent Temperature,2014
Steven ARMFIELD,Sheared Turbulent Convection of a Buoyant Fluid from a Horizontal Porous Plate,2014
Steven ARMFIELD,Penetration height and onset of asymmetric behaviour of transitional plane fountains in linearly stratified fluids,2014
Steven ARMFIELD,Three-dimensional direct numerical simulation of unsteady transitional round fountains in a homogeneous fluid,2014
Steven ARMFIELD,Thermal Management of Data Centres–Effect of CRAC Location and Flow Rate on the Performance of Data Centres,2014
Steven ARMFIELD,Parallel Speed-up of Preconditioned Fractional Step Navier-Stokes Solvers,2014
Steven ARMFIELD,Comparison of Semi-Implicit and Explicit Finite Difference Algorithms on Highly Parallel Processing Architectures,2014
Steven ARMFIELD,Convectively unstable turbulent open channel flow with stable surface stratification,2014
Steven ARMFIELD,Natural convection in an inclined differentially heated square cavity,2014
Steven ARMFIELD,Asymmetric Transition for High Froude Number Plane Fountains in Linearly Stratified Fluids,2014
Steven ARMFIELD,Direct numerical simulation of unsteady natural convection boundary layers on an evenly heated plate with time-varying heating flux,2013
Steven ARMFIELD,Unified Prandtl number scaling for start-up and fully developed natural-convection boundary layers for both Pr greater than or similar to 1 and Pr less than or similar to 1 …,2012
Steven ARMFIELD,"Computational Fluid Dynamics 2002: Proceedings of the Second International Conference on Computational Fluid Dynamics, ICCFD, Sydney, Australia, 15–19 July 2002",2012
Steven ARMFIELD,Secondary flow in stratified open channel flow on a bend,2012
Steven ARMFIELD,PIV study on the interaction of triple transitional round fountains in a homogeneous fluid,2012
Steven ARMFIELD,Numerical and Experimental Investigation of the Stability of Thermal Plumes with Finite Width Source,2012
Steven ARMFIELD,Publications for Michael Kirkpatrick,2012
Steven ARMFIELD,PIV Study of behavior of interaction of twin fountains in homogenous fluid,2012
Steven ARMFIELD,Onset asymmetry and three-dimensionality in transitional round fountains in homogeneous fluid,2012
Steven ARMFIELD,Direct numerical simulation of interaction of twin transitional fountains in a homogeneous fluid,2012
Steven ARMFIELD,Scaling of the thermally coupled natural convection boundary layers on a conducting vertical plate,2012
Steven ARMFIELD,Transitional High Prandtl Number Plumes with an Isothermal Source,2011
